Feature,Coefficient,Abs_Coefficient
Number_of_Active_Loans,1.4374504480195025,1.4374504480195025
Previous_Defaults,1.2615674194421067,1.2615674194421067
Debt_to_Income_Ratio,0.5988894337300883,0.5988894337300883
behavioral_risk_score,0.5449735675923424,0.5449735675923424
EMI_to_Income_Ratio,0.4671962084158691,0.4671962084158691
Credit_Score,-0.37859908231895806,0.37859908231895806
balance_volatility,0.09066461183784888,0.09066461183784888
Annual_Income,-0.060319071545572894,0.060319071545572894
Monthly_Income,-0.05183200208963757,0.05183200208963757
Interest_Rate,0.04521756828657424,0.04521756828657424
Marital_Status_Married,-0.03826284994047912,0.03826284994047912
Marital_Status_Single,-0.026230773184235192,0.026230773184235192
avg_monthly_spending,0.026029741975153627,0.026029741975153627
Income_Stability_Score,-0.01874447297176385,0.01874447297176385
EMI,0.017870316934560055,0.017870316934560055
Job_Type_IT,0.016695797513450378,0.016695797513450378
Job_Type_Finance,0.01482605090648249,0.01482605090648249
Avg_Days_Past_Due,-0.014796635371566214,0.014796635371566214
Loan_Purpose_Education,-0.014619223161337649,0.014619223161337649
Application_Channel_Mobile App,-0.014567915908235305,0.014567915908235305
Job_Type_Education,0.013228752386499586,0.013228752386499586
Number_of_Previous_Loans,0.013214300473157258,0.013214300473157258
Marital_Status_Widowed,-0.013093377307057915,0.013093377307057915
Loan_to_Income_Ratio,0.011149871896285288,0.011149871896285288
Job_Type_Retail,0.010697999467587179,0.010697999467587179
Delinquencies,-0.008981011341160425,0.008981011341160425
Gender_Male,-0.007938902917069444,0.007938902917069444
Job_Type_Services,0.007334023038300594,0.007334023038300594
Gender_Non-Binary,0.007330057269288728,0.007330057269288728
Income_Type_Freelance,-0.006879896321399213,0.006879896321399213
Loan_Amount,-0.005937405057264442,0.005937405057264442
Loan_Purpose_Car,0.005798561330090124,0.005798561330090124
Number_of_Dependents,0.004982784766620899,0.004982784766620899
Education_Level_Masters,0.004813711783353412,0.004813711783353412
Loan_Purpose_Medical,-0.004647580908869173,0.004647580908869173
spending_to_income_ratio,0.004591151444196147,0.004591151444196147
Application_Channel_Online,-0.004105821573522851,0.004105821573522851
Education_Level_High School,-0.003935040182025483,0.003935040182025483
Loan_Term_Months,-0.0039095093645557496,0.0039095093645557496
Age,0.003640744516665162,0.003640744516665162
Job_Type_Unemployed,0.0034330870753866128,0.0034330870753866128
Income_Type_No Income,0.0034330870753866128,0.0034330870753866128
Employment_Status_Unemployed,0.0034330870753866128,0.0034330870753866128
Loan_Purpose_Home,-0.003358918753722216,0.003358918753722216
Job_Type_Manufacturing,-0.002962912419511459,0.002962912419511459
Credit_Utilization_Ratio,-0.002826734929772575,0.002826734929772575
Education_Level_PhD,0.0026899188299212926,0.0026899188299212926
Years_Employed,0.002638307553249722,0.002638307553249722
Employment_Status_Self-Employed,-0.001817761944947179,0.001817761944947179
rent_payment_ratio,-0.0018035488574410054,0.0018035488574410054
Job_Type_Healthcare,0.0009760695556433718,0.0009760695556433718
Loan_Purpose_Personal,-0.0009029846972088164,0.0009029846972088164
Income_Type_Salary,-0.0005161375058437581,0.0005161375058437581
Application_Channel_Branch,2.7302091529274737e-05,2.7302091529274737e-05
